Steps, Time,,,,,,Steps, Time
11,0.002000093,0.003500104,11,,,,23,0.019999981
11,0.005000114,,,,,,16,0.003999949
12,0.005000114,0.003500104,12,,,,22,0.036999941
12,0.002000093,,,,,,20,0.024000168
13,0.001999855,0.001999974,13,,,,26,0.042999983
13,0.002000093,,,,,,23,0.066999912
14,0.003999949,0.004,14,,,,19,0.012000084
15,0.011000156,0.009777811,15,,,,19,0.009000063
15,0.012000084,,,,,,26,0.263000011
15,0.004999876,,,,,,27,0.255999804
15,0.009000063,,,,,,22,0.123000145
15,0.005000114,,,,,,24,0.098999977
15,0.023999929,,,,,,21,0.006999969
15,0.011000156,,,,,,20,0.019999981
15,0.006000042,,,,,,27,0.157999992
15,0.004999876,,,,,,27,0.51699996
16,0.026000023,0.015727217,16,,,,19,0.007999897
16,0.00999999,,,,,,22,0.015000105
16,0.021999836,,,,,,23,0.062999964
16,0.003999949,,,,,,23,0.019000053
16,0.020999908,,,,,,25,0.167999983
16,0.018999815,,,,,,25,0.124000072
16,0.006000042,,,,,,26,0.139999866
16,0.006999969,,,,,,25,0.049000025
16,0.021999836,,,,,,26,0.078000069
16,0.026000023,,,,,,20,0.019999981
16,0.00999999,,,,,,23,0.052999973
17,0.012000084,0.012823554,17,,,,25,0.127000093
17,0.009000063,,,,,,21,0.09800005
17,0.003999949,,,,,,11,0.001999855
17,0.009000063,,,,,,25,0.770999908
17,0.00999999,,,,,,25,0.315999985
17,0.013999939,,,,,,24,0.034999847
17,0.005000114,,,,,,19,0.032999992
17,0.023999929,,,,,,25,0.0849998
17,0.036000013,,,,,,20,0.006999969
17,0.009000063,,,,,,29,0.851999998
17,0.009000063,,,,,,16,0.016000032
17,0.003999949,,,,,,20,0.011000156
17,0.027000189,,,,,,21,0.023999929
17,0.009000063,,,,,,23,0.042999983
17,0.023000002,,,,,,25,0.026000023
17,0.006999969,,,,,,23,0.101999998
17,0.006999969,,,,,,28,0.178999901
18,0.005000114,0.036846143,18,,,,22,0.031000137
18,0.076999903,,,,,,26,0.292999983
18,0.039000034,,,,,,22,0.105000019
18,0.005000114,,,,,,23,0.093000174
18,0.010999918,,,,,,30,0.465000153
18,0.023999929,,,,,,22,0.019000053
18,0.119999886,,,,,,21,0.04700017
18,0.016000032,,,,,,28,0.250999928
18,0.036999941,,,,,,24,0.086999893
18,0.012000084,,,,,,23,0.059999943
18,0.039000034,,,,,,22,0.01699996
18,0.05099988,,,,,,23,0.045000076
18,0.042999983,,,,,,23,0.203000069
19,0.013999939,0.036499994,19,,,,25,0.105000019
19,0.031000137,,,,,,25,0.169000149
19,0.036000013,,,,,,27,0.147000074
19,0.139999866,,,,,,27,0.069000006
19,0.010999918,,,,,,26,0.183000088
19,0.082999945,,,,,,20,0.008999825
19,0.067000151,,,,,,11,0.003000021
19,0.036999941,,,,,,25,0.055999994
19,0.008000135,,,,,,19,0.006000042
19,0.014000177,,,,,,20,0.026000023
19,0.026000023,,,,,,26,0.123999834
19,0.014999866,,,,,,18,0.041000128
19,0.061000109,,,,,,22,0.01699996
19,0.098999977,,,,,,31,1.407999992
19,0.069000006,,,,,,24,0.194999933
19,0.010999918,,,,,,16,0.015000105
19,0.036000013,,,,,,25,0.11500001
19,0.01699996,,,,,,26,0.062999964
19,0.012000084,,,,,,26,0.088000059
19,0.055999994,,,,,,23,0.003999949
19,0.026000023,,,,,,25,0.171000004
19,0.013000011,,,,,,14,0.003000021
19,0.024999857,,,,,,27,0.120000124
19,0.030999899,,,,,,23,0.013999939
19,0.01699996,,,,,,30,0.414999962
19,0.004999876,,,,,,19,0.031000137
19,0.025000095,,,,,,17,0.026000023
19,0.036999941,,,,,,29,0.619999886
20,0.019000053,0.042033323,20,,,,22,0.14199996
20,0.013000011,,,,,,23,0.086000204
20,0.053999901,,,,,,24,0.079999924
20,0.098999977,,,,,,21,0.032000065
20,0.102999926,,,,,,23,0.084000111
20,0.087999821,,,,,,27,0.230999947
20,0.036000013,,,,,,29,0.252000093
20,0.05099988,,,,,,28,0.059999943
20,0.025999784,,,,,,20,0.035000086
20,0.013000011,,,,,,24,0.125
20,0.023000002,,,,,,26,0.167999983
20,0.020000219,,,,,,21,0.017999887
20,0.011999846,,,,,,23,0.013000011
20,0.018000126,,,,,,27,0.240999937
20,0.032999992,,,,,,25,0.828999996
20,0.048000097,,,,,,28,0.366999865
20,0.019000053,,,,,,4,0.001000166
20,0.005000114,,,,,,25,0.092999935
20,0.062999964,,,,,,24,0.09800005
20,0.017999887,,,,,,15,0.002000093
20,0.095000029,,,,,,25,0.315000057
20,0.065999985,,,,,,23,0.036000013
20,0.024999857,,,,,,22,0.085999966
20,0.036999941,,,,,,24,0.230999947
20,0.038000107,,,,,,21,0.070000172
20,0.045000076,,,,,,29,0.455000162
20,0.006000042,,,,,,21,0.036000013
20,0.078000069,,,,,,27,0.203999996
20,0.089999914,,,,,,30,0.085999966
20,0.019999981,,,,,,27,0.316000223
21,0.020999908,0.050160003,21,,,,23,0.149999857
21,0.078999996,,,,,,23,0.036000013
21,0.032999992,,,,,,19,0.018000126
21,0.049000025,,,,,,25,0.173000097
21,0.125999928,,,,,,24,0.227999926
21,0.095999956,,,,,,25,0.104000092
21,0.078000069,,,,,,28,0.247999907
21,0.017000198,,,,,,25,0.104000092
21,0.034999847,,,,,,28,0.476999998
21,0.116999865,,,,,,27,0.208000183
21,0.109999895,,,,,,23,0.035000086
21,0.045000076,,,,,,22,0.024000168
21,0.052999973,,,,,,28,0.09100008
21,0.040999889,,,,,,19,0.047999859
21,0.042999983,,,,,,26,0.117000103
21,0.055999994,,,,,,16,0.030999899
21,0.01699996,,,,,,22,0.021999836
21,0.016000032,,,,,,24,0.15899992
21,0.011999846,,,,,,25,0.021000147
21,0.039999962,,,,,,24,0.079999924
21,0.011000156,,,,,,22,0.040999889
21,0.049999952,,,,,,24,0.042999983
21,0.019000053,,,,,,24,0.071999788
21,0.026000023,,,,,,24,0.069999933
21,0.016000032,,,,,,21,0.019000053
21,0.006999969,,,,,,28,0.32400012
21,0.041000128,,,,,,21,0.007999897
21,0.006999969,,,,,,27,0.872999907
21,0.049000025,,,,,,25,0.049000025
21,0.045000076,,,,,,19,0.014999866
21,0.050000191,,,,,,24,0.013000011
21,0.015000105,,,,,,15,0.006000042
21,0.072000027,,,,,,24,0.054999828
21,0.03399992,,,,,,20,0.118999958
21,0.021999836,,,,,,26,0.141000032
21,0.032000065,,,,,,11,0.001000166
21,0.161000013,,,,,,16,0.005000114
21,0.080999851,,,,,,24,0.232000113
21,0.021000147,,,,,,23,0.118999958
21,0.013000011,,,,,,27,0.519000053
21,0.028000116,,,,,,28,0.14199996
21,0.049000025,,,,,,22,0.03399992
